index,utc_iso,celestial_body,observer_latitude_deg,observer_longitude_deg,observer_elevation_m,azimuth_deg,elevation_deg,range_km,unit_east,unit_north,unit_up
2079,2026-07-29T21:59:18.739255Z,moon,39.759062,-104.62011683333333,1672.4,70.69698813077486,-51.03696100614597,403718.50300477754,0.5934689785611565,0.20786490399340085,-0.7775517688060337
2080,2026-07-29T22:00:48.762699Z,moon,39.759062,-104.62011683333333,1672.4,71.03436406986177,-50.773397418995884,403696.84783652663,0.598058963180074,0.20552707518024693,-0.7746509523184155
2081,2026-07-29T22:02:18.786142Z,moon,39.759062,-104.62011683333333,1672.4,71.3688673057552,-50.509303181847585,403675.0490323282,0.602625782598148,0.203170582403896,-0.7717278539703173
2082,2026-07-29T22:03:48.809586Z,moon,39.759062,-104.62011683333333,1672.4,71.70055421325719,-50.244691294907035,403653.1073119351,0.6071692533750059,0.20079551651017527,-0.7687825819472303
2083,2026-07-29T22:05:18.833029Z,moon,39.759062,-104.62011683333333,1672.4,72.0294800579293,-49.97957448099609,403631.0234018235,0.6116891926967413,0.19840196918949654,-0.7658152454474506
2084,2026-07-29T22:06:48.856473Z,moon,39.759062,-104.62011683333333,1672.4,72.35569904609376,-49.713965170208674,403608.79803321057,0.6161854187868008,0.19599003276338803,-0.7628259544168257
2085,2026-07-29T22:08:18.879917Z,moon,39.759062,-104.62011683333333,1672.4,72.6792643196611,-49.44787552849254,403586.4319437079,0.6206577505606746,0.19355980036712164,-0.7598148197757159
2086,2026-07-29T22:09:48.903360Z,moon,39.759062,-104.62011683333333,1672.4,73.00022798762082,-49.18131745655829,403563.92587653676,0.6251060077851021,0.19111136586777608,-0.7567819533175492
2087,2026-07-29T22:11:18.926804Z,moon,39.759062,-104.62011683333333,1672.4,73.31864115682579,-48.914302588499375,403541.2805798914,0.6295300112320614,0.18864482377897288,-0.7537274676032186
2088,2026-07-29T22:12:48.950247Z,moon,39.759062,-104.62011683333333,1672.4,73.63455392719304,-48.646842319843984,403518.4968085113,0.6339295823406343,0.186160269448752,-0.750651476193977
2089,2026-07-29T22:14:18.973691Z,moon,39.759062,-104.62011683333333,1672.4,73.94801543989799,-48.37894779094793,403495.5753216803,0.6383045436169916,0.18365779883745786,-0.7475540933765823
2090,2026-07-29T22:15:48.997135Z,moon,39.759062,-104.62011683333333,1672.4,74.25907387248128,-48.11062991466442,403472.51688502275,0.6426547182990427,0.18113750870714776,-0.7444354343980046
2091,2026-07-29T22:17:19.020578Z,moon,39.759062,-104.62011683333333,1672.4,74.56777646893605,-47.84189937419373,403449.32226961583,0.6469799305107814,0.17859949653717958,-0.7412956153606538
2092,2026-07-29T22:18:49.044022Z,moon,39.759062,-104.62011683333333,1672.4,74.87416956918827,-47.57276662062644,403425.9922513177,0.6512800054123946,0.17604386043521056,-0.738134753112939
2093,2026-07-29T22:20:19.067465Z,moon,39.759062,-104.62011683333333,1672.4,75.17829860417966,-47.303241900182364,403402.52761250397,0.6555547688717214,0.17347069933204132,-0.7349529654901711
2094,2026-07-29T22:21:49.090909Z,moon,39.759062,-104.62011683333333,1672.4,75.48020814186609,-47.0333352364742,403378.92913985456,0.6598040478530897,0.1708801127514415,-0.7317503710301296
2095,2026-07-29T22:23:19.114353Z,moon,39.759062,-104.62011683333333,1672.4,75.77994188201346,-46.76305645744432,403355.19762628234,0.6640276700911149,0.16827220100670895,-0.7285270892161274
2096,2026-07-29T22:24:49.137796Z,moon,39.759062,-104.62011683333333,1672.4,76.07754268471817,-46.49241519220914,403331.333870093,0.6682254642415905,0.16564706511231655,-0.7252832403680557
2097,2026-07-29T22:26:19.161240Z,moon,39.759062,-104.62011683333333,1672.4,76.37305259815335,-46.22142086769609,403307.33867416054,0.6723972600266528,0.16300480669269438,-0.7220189455296359
